67,C19,FALSE,AIW001-02 P4+P7,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,0.784,0.435,1.412,34.236,34.287,0.313,,0.281,0.53,0.306,0.351,TRUE,0.271,TRUE,3,28,Amp,,0.979,N,N,N,N,N,N,N,N
68,C20,FALSE,AIW001-02 P4+P7,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,0.784,0.435,1.412,34.623,34.287,0.313,,0.281,0.53,0.306,0.351,TRUE,0.271,TRUE,3,28,Amp,,0.973,N,N,N,N,N,N,N,N
69,C21,FALSE,AIW001-02 P4+P7,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,0.784,0.435,1.412,34.003,34.287,0.313,,0.281,0.53,0.306,0.351,TRUE,0.271,TRUE,3,28,Amp,,0.965,N,N,N,N,N,N,N,N
70,C22,FALSE,3450-C WT,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.082,0.986,1.188,25.996,25.934,0.056,,#FIELD!,0.084,0.048,#FIELD!,TRUE,0.271,TRUE,3,20,Amp,,0.988,N,N,N,N,N,N,N,N
71,C23,FALSE,3450-C WT,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.082,0.986,1.188,25.916,25.934,0.056,,#FIELD!,0.084,0.048,#FIELD!,TRUE,0.271,TRUE,3,20,Amp,,0.986,N,N,N,N,N,N,N,N
72,C24,FALSE,3450-C WT,CHR8,UNKNOWN,FAM,NFQ-MGB,,,,1.082,0.986,1.188,25.888,25.934,0.056,,#FIELD!,0.084,0.048,#FIELD!,TRUE,0.271,TRUE,3,20,Amp,,0.984,N,N,N,N,N,N,N,N
73,D1,FALSE,Normal,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1,0.948,1.054,24.881,24.883,0.011,,0.128,0.048,0.027,0,TRUE,0.332,TRUE,3,19,Amp,,0.991,N,N,N,N,N,N,N,N
74,D2,FALSE,Normal,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1,0.948,1.054,24.896,24.883,0.011,,0.128,0.048,0.027,0,TRUE,0.332,TRUE,3,18,Amp,,0.986,N,N,N,N,N,N,N,N
75,D3,FALSE,Normal,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,1,0.948,1.054,24.873,24.883,0.011,,0.128,0.048,0.027,0,TRUE,0.332,TRUE,3,19,Amp,,0.989,N,N,N,N,N,N,N,N
76,D4,FALSE,fxs,CHR10,UNKNOWN,FAM,NFQ-MGB,,,,0.973,0.829,1.141,28.837,28.88,0.048,,0.168,0.144,0.083,0.04,TRUE,0.332,TRUE,3,22,Amp,,0.99,N,N,N,N,N,N,N,N
